	CountyCode	lowincome	growth	vision	highincome	senior
409	13049	1	0	0	2	0
410	13051	3	4	0	4	0
411	13053	0	1	1	2	0
412	13055	0	0	1	2	0
413	13057	0	4	0	6	1
414	13059	2	3	0	3	0
415	13063	2	7	0	4	0
416	13065	0	0	0	2	0
417	13067	2	6	1	6	0
418	13069	4	0	0	2	0
419	13071	2	0	0	2	0
420	13073	3	1	1	3	0
421	13075	1	0	0	2	0
422	13077	1	4	1	4	0
423	13079	1	0	0	2	0
424	13081	3	0	0	1	0
425	13083	0	0	1	1	0
426	13085	0	1	0	2	1
427	13087	2	1	0	0	2
428	13089	1	6	0	5	0
429	13091	5	0	0	1	0
430	13093	4	0	0	1	0
431	13095	2	1	0	3	0
432	13097	3	4	0	5	0
433	13099	1	0	0	0	0
434	13103	2	0	0	2	0
435	13105	3	0	0	2	0
436	13107	2	0	0	1	0
437	13109	1	0	0	2	0
438	13111	0	0	0	1	3
439	13113	2	2	1	4	0
440	13115	1	1	1	3	0
441	13117	1	5	0	5	0
442	13119	3	0	0	3	0
443	13121	2	11	1	7	0
444	13123	0	0	0	2	1
445	13125	1	0	0	1	0
446	13127	2	2	0	3	0
447	13129	1	1	0	3	0
448	13131	1	0	0	2	0
449	13133	2	0	0	2	0
450	13135	3	7	0	5	0
451	13137	2	1	0	2	1
452	13139	1	5	0	4	1
453	13141	0	0	0	1	0
454	13143	1	3	1	2	0
455	13145	2	0	1	1	0
456	13147	2	0	0	3	0
457	13151	3	5	0	4	0
458	13153	3	2	0	5	0
459	13157	2	2	0	3	0
460	13159	0	0	0	2	0
461	13161	1	0	0	1	0
462	13163	2	0	0	2	0
463	13165	1	0	0	1	0
464	13167	3	0	0	1	0
465	13169	3	1	0	4	0
466	13171	2	0	0	3	0
467	13173	0	0	0	1	0
468	13175	5	1	0	2	0
469	13177	2	0	0	1	0
470	13179	0	1	0	3	0
471	13181	1	0	0	2	0
472	13183	0	0	0	2	0
473	13185	2	2	0	3	0
474	13187	0	2	0	2	0
475	13189	1	1	1	3	0
476	13191	0	0	0	2	0
477	13193	2	0	0	2	0
478	13195	0	0	0	1	0
479	13197	1	0	0	1	0
480	13199	2	1	0	2	0
481	13201	2	0	0	0	0
482	13205	2	1	0	2	0
483	13207	3	0	1	2	0
484	13209	2	0	0	1	0
485	13211	2	1	0	1	0
486	13213	0	0	0	4	0
487	13215	3	2	1	3	0
488	13217	0	1	0	3	0
489	13219	1	1	0	2	0
490	13221	1	0	0	0	0
491	13223	2	2	0	3	0
492	13225	1	1	0	4	0
493	13227	0	0	0	3	1
494	13229	2	0	0	2	0
495	13231	2	0	0	2	0
496	13233	1	0	1	3	0
497	13235	1	0	0	0	0
498	13237	1	1	0	2	0
499	13241	1	1	0	2	1
500	13243	2	0	0	1	0
501	13245	1	2	1	4	0
502	13247	0	3	0	3	0
503	13249	1	0	0	1	0
504	13251	1	0	0	1	0
505	13253	1	0	0	0	0
506	13255	2	1	0	3	0
507	13257	2	1	0	2	1
508	13259	1	0	0	0	0
509	13261	2	1	0	3	0
510	13263	1	0	0	1	0
511	13265	0	0	0	1	0
512	13267	2	0	0	1	0
513	13269	3	0	0	2	0
514	13271	2	0	0	1	0
515	13273	2	0	0	0	0
516	13275	0	1	0	3	0
517	13277	3	1	0	2	0
518	13279	3	1	0	2	0
519	13281	0	1	0	1	2
520	13283	3	0	0	2	0
521	13285	2	3	1	3	0
522	13287	2	0	0	2	0
523	13289	3	0	0	2	0
524	13291	0	1	0	1	3
525	13293	2	0	0	1	0
526	13295	0	1	1	3	2
527	13297	1	2	0	2	0
528	13299	4	0	0	2	0
529	13301	2	0	0	1	0
530	13303	2	1	0	2	0
531	13305	1	0	0	3	0
532	13307	1	0	0	0	0
533	13309	1	0	0	1	0
534	13311	0	0	0	1	1
535	13313	0	1	1	3	1
536	13315	1	0	0	0	0
537	13317	1	0	0	2	0
538	13319	2	0	0	3	0
539	13321	2	0	0	1	0
540	15001	0	2	0	5	0
541	15003	0	6	0	4	1
542	15007	0	2	0	4	0
543	15009	0	1	0	4	0
544	16001	0	3	4	4	0
545	16003	0	0	1	2	0
546	16005	0	3	4	3	1
547	16007	0	0	2	1	0
