,FIPS,MHI_2018,giniIndex
421,13069,38266,0.5001
422,13071,35472,0.4732
423,13073,76938,0.4081
424,13075,38408,0.4625
425,13077,70717,0.4278
426,13079,43257,0.4397
427,13081,35096,0.5504
428,13083,44471,0.4495
429,13085,65805,0.4358
430,13087,39148,0.5091
431,13089,59280,0.4904
432,13091,35757,0.4665
433,13093,35629,0.4669
434,13095,37633,0.4948
435,13097,62147,0.4071
436,13099,31567,0.4698
437,13101,34447,0.5039
438,13103,65153,0.4263
439,13105,37943,0.4838
440,13107,34946,0.468
441,13109,39701,0.4738
442,13111,45647,0.4519
443,13113,87272,0.4337
444,13115,46367,0.4768
445,13117,101743,0.4037
446,13119,40198,0.4927
447,13121,64787,0.5402
448,13123,49389,0.4486
449,13125,41686,0.4361
450,13127,50672,0.5042
451,13129,44313,0.454
452,13131,42348,0.4705
453,13133,49755,0.573
454,13135,67769,0.43
455,13137,49140,0.4307
456,13139,59898,0.4486
457,13141,31984,0.4923
458,13143,46353,0.4509
459,13145,74261,0.4352
460,13147,41358,0.459
461,13149,48094,0.4098
462,13151,68609,0.3963
463,13153,58770,0.4368
464,13155,32339,0.4842
465,13157,62495,0.4194
466,13159,43284,0.4199
467,13161,36531,0.4429
468,13163,34300,0.4742
469,13165,27311,0.4413
470,13167,39813,0.4361
471,13169,53155,0.4248
472,13171,41464,0.4788
473,13173,39104,0.4906
474,13175,37369,0.4952
475,13177,65420,0.4005
476,13179,45959,0.3993
477,13181,41014,0.481
478,13183,55439,0.381
479,13185,41390,0.531
480,13187,47488,0.4582
481,13189,39199,0.4714
482,13191,47114,0.4562
483,13193,31999,0.4729
484,13195,51701,0.4277
485,13197,44309,0.4385
486,13199,36351,0.4608
487,13201,42927,0.4555
488,13205,37027,0.4672
489,13207,54050,0.5408
490,13209,40728,0.5234
491,13211,62530,0.4544
492,13213,45238,0.4054
493,13215,45389,0.4916
494,13217,53309,0.4384
495,13219,88308,0.4529
496,13221,44927,0.4137
497,13223,66467,0.3858
498,13225,42802,0.4707
499,13227,64512,0.4275
500,13229,44167,0.456
501,13231,58765,0.4545
502,13233,43491,0.4879
503,13235,38770,0.4597
504,13237,51245,0.4768
505,13239,30000,0.458
506,13241,40902,0.5261
507,13243,30914,0.5508
508,13245,40644,0.4761
509,13247,57049,0.4209
510,13249,41276,0.4679
511,13251,37588,0.4697
512,13253,34338,0.5647
513,13255,42671,0.4503
514,13257,43416,0.4629
515,13259,25385,0.5029
516,13261,36205,0.4792
517,13263,36213,0.4579
518,13265,31797,0.4814
519,13267,38034,0.4679
520,13269,33442,0.463
521,13271,30288,0.4343
522,13273,38015,0.4633
523,13275,40112,0.5078
524,13277,42790,0.4615
525,13279,36575,0.5548
526,13281,43927,0.4485
527,13283,37606,0.5227
528,13285,43850,0.4681
529,13287,38341,0.4823
530,13289,33037,0.4918
531,13291,44978,0.4698
532,13293,36529,0.4835
533,13295,43650,0.4598
534,13297,58370,0.4277
535,13299,39887,0.4574
536,13301,34730,0.5242
537,13303,38092,0.462
538,13305,44869,0.4679
539,13307,35755,0.4813
540,13309,27626,0.4435
541,13311,46288,0.426
542,13313,46970,0.4651
543,13315,36077,0.4481
544,13317,35106,0.507
545,13319,37583,0.4885
546,13321,46076,0.4406
547,15001,59297,0.4742
548,15003,82906,0.4318
549,15005,61875,0.3589
550,15007,78482,0.4206
551,15009,77117,0.443
552,16001,63137,0.4659
553,16003,45319,0.4228
554,16005,49739,0.4473
555,16007,54265,0.3919
556,16009,46507,0.4253
557,16011,51288,0.3951
558,16013,51968,0.4853
559,16015,53942,0.4139
560,16017,48710,0.4564
561,16019,56609,0.4539
562,16021,43507,0.4811
563,16023,42250,0.4672
564,16025,38393,0.5543
565,16027,49143,0.41
566,16029,59611,0.41
567,16031,50918,0.4133
568,16033,35341,0.3549
569,16035,42348,0.4285
570,16037,39957,0.4582
571,16039,46715,0.4138
572,16041,56613,0.3703
573,16043,53311,0.3859
574,16045,43001,0.4184
575,16047,48638,0.4027
576,16049,39113,0.4223
577,16051,60162,0.3723
578,16053,49306,0.4154
579,16055,54457,0.442
580,16057,45466,0.4688
581,16059,37921,0.4017
582,16061,41326,0.4586
583,16063,48222,0.395
584,16065,36031,0.4899
585,16067,50663,0.4496
586,16069,54174,0.4138
587,16071,51058,0.3647
588,16073,40430,0.4761
589,16075,50289,0.4321
590,16077,49985,0.3881
591,16079,39091,0.4508
592,16081,68818,0.4239
593,16083,50778,0.4312
594,16085,55299,0.4714
595,16087,37206,0.4448
596,17001,51398,0.4548
597,17003,34709,0.4596
598,17005,58097,0.4132
599,17007,66898,0.4381
600,17009,58762,0.3869
601,17011,55940,0.4153
602,17013,54392,0.4284
603,17015,51228,0.4172
604,17017,51997,0.4215
605,17019,51692,0.5097
606,17021,52415,0.4208
607,17023,54158,0.4275
608,17025,48691,0.4237
609,17027,65010,0.4191
610,17029,44071,0.4984
611,17031,62088,0.5069
612,17033,49233,0.4577
613,17035,53376,0.3961
614,17037,61086,0.4353
615,17039,55591,0.4021
616,17041,54218,0.4355
617,17043,88711,0.453
618,17045,51109,0.43
619,17047,49766,0.4141
620,17049,56293,0.4478
621,17051,44432,0.4366
622,17053,51120,0.4179
623,17055,41414,0.4535
624,17057,50180,0.433
625,17059,42500,0.4548
626,17061,46052,0.4345
627,17063,74140,0.3925
628,17065,56862,0.415
629,17067,51549,0.412
630,17069,43081,0.5009
631,17071,52712,0.4066
632,17073,57250,0.4212
633,17075,51825,0.4197
634,17077,37802,0.5355
635,17079,54951,0.4112
636,17081,47617,0.4579
637,17083,56747,0.409
638,17085,57083,0.4355
639,17087,50923,0.4437
640,17089,76912,0.4425
641,17091,57981,0.4326
642,17093,91764,0.3577
643,17095,43709,0.4519
644,17097,86244,0.487
645,17099,56243,0.4307
646,17101,45654,0.403
647,17103,57901,0.4344
648,17105,56200,0.4291
649,17107,57899,0.4073
650,17109,43724,0.4652
651,17111,84803,0.4062
652,17113,65813,0.4645
653,17115,50444,0.4646
654,17117,53778,0.4213
655,17119,57890,0.4396
656,17121,46102,0.4296
657,17123,55901,0.4158
658,17125,45596,0.4354
659,17127,42604,0.4359
660,17129,69102,0.4011
661,17131,58011,0.3958
662,17133,81268,0.4289
663,17135,50304,0.4325
664,17137,48508,0.4355
665,17139,59623,0.3951
666,17141,59707,0.4099
667,17143,54770,0.4756
668,17145,48298,0.4686
669,17147,69271,0.3953
